Phone 1970 time (ns),Watch 1970 time (ns),Time difference,seconds_elapsed,Phone raw seconds_elapsed,,Elapsed time (s),,Phone-Accel-Z,Phone-Accel-Y,Phone-Accel-X,Watch-Accel-Z,Watch-Accel-Y,Watch-Accel_X,Phone-Gyro-Z,Phone-Gyro-Y,Phone-Gyro-X,Watch-Gyro-Z,Watch-Gyro-Y,Watch-Gyro-X,Phone-Mag-Z,Phone-Mag-Y,Phone-Mag-X,Watch-Mag-Z,Watch-Mag-Y,Watch-Mag-X
1733953940426249500,1733953940360876000,-0.065370112,0.02287597656,0.1102495117,,0.00,,-0.5563659668,-0.7229003906,0.471496582,-0.62159729,-0.6457519531,0.2936401367,0.05625501648,-0.1773116589,-0.02934244275,-0.1481378078,0.2549135089,0.06225698441,-332.2513428,-96.08265686,-80.91760254,-56.22241211,29.2808075,175.6446533
1733953940436314400,1733953940370805000,-0.065509888,0.03280493164,0.1203144531,,0.01,,-0.5513153076,-0.7033538818,0.4649047852,-0.6453704834,-0.6471710205,0.3119049072,0.05311674625,-0.1527709067,-0.03720276058,-0.1245163605,0.2475136518,0.07503563166,-331.7720947,-95.90586853,-81.11854553,-56.11555481,29.03215027,175.6139679
1733953940446379500,1733953940380734200,-0.065639936,0.04273413086,0.1303796387,,0.02,,-0.5468902588,-0.6860046387,0.4555969238,-0.669052124,-0.6518249512,0.318359375,0.04395547509,-0.1222319007,-0.04841626808,-0.1080164835,0.2115282267,0.1045852676,-331.9575806,-96.15557861,-81.04145813,-56.23181152,28.81739807,175.701828
1733953940456443600,1733953940390662100,-0.065779968,0.05266210938,0.1404436035,,0.03,,-0.5461120605,-0.679977417,0.4497680664,-0.6686096191,-0.6493682861,0.3263549805,0.03029958159,-0.09648073465,-0.06338004023,-0.08363630623,0.169027105,0.1163782775,-332.4566956,-96.03492737,-81.20780945,-56.21038818,28.7414856,175.936203
1733953940466508300,1733953940400591000,-0.065910016,0.06259106445,0.1505083008,,0.04,,-0.5464630127,-0.6723022461,0.4536132813,-0.6505432129,-0.6485290527,0.3325805664,0.01468094159,-0.07735551149,-0.05974748731,-0.05044319853,0.1234588176,0.09477950633,-332.7478027,-96.23368835,-81.08067322,-56.22029114,28.68408203,175.7843475
1733953940476573400,1.73395E+18,-0.066050048,0.07252001953,0.1605734863,,0.05,,-0.5381774902,-0.6562957764,0.4527435303,-0.6398010254,-0.6576080322,0.3332214355,-0.009361010976,-0.05492130667,-0.05973150581,-0.03175633028,0.09012882411,0.06276271492,-332.6071777,-96.05831909,-81.04219055,-56.19216919,28.71221924,175.9497528
1733953940486638600,1733953940420448000,-0.066189824,0.08244799805,0.1706386719,,0.06,,-0.5332489014,-0.6463623047,0.4484710693,-0.6426849365,-0.6603393555,0.3278961182,-0.03059865534,-0.02334340662,-0.05322007835,-0.02117985301,0.04572274536,0.03914527223,-332.3305054,-95.84716797,-81.40255737,-56.07345581,28.739151,175.91745
1733953940496703500,1733953940430377000,-0.066329856,0.09237695313,0.1807033691,,0.07,,-0.5303649902,-0.6496734619,0.4481964111,-0.6584014893,-0.6591949463,0.3213043213,-0.05133908615,0.005196626298,-0.04280019552,-0.01975532807,-0.008817992173,0.02905961499,-332.7747803,-95.90194702,-81.10803223,-56.3086853,28.79876709,176.0086823
1733953940506768400,1733953940440306200,-0.066459904,0.1023061523,0.1907683105,,0.08,,-0.5279388428,-0.6566619873,0.4488525391,-0.6772003174,-0.6622467041,0.3162078857,-0.06199865416,0.02691816725,-0.03823660314,-0.02269199677,-0.06893725693,0.03017681092,-333.2527466,-95.83406067,-80.82528687,-56.14091492,28.7244873,175.8924408
1733953940516832300,1733953940450234000,-0.066599936,0.1122341309,0.2008322754,,0.09,,-0.5375976563,-0.6715545654,0.4523773193,-0.6871185303,-0.663772583,0.3059082031,-0.06174512208,0.03202717379,-0.03675055876,-0.03250201792,-0.09171846509,0.04293548316,-332.7922363,-95.74943542,-80.93823242,-56.34913635,28.68826294,175.8160248
1733953940526897400,1733953940460163000,-0.066729984,0.1221630859,0.2108974609,,0.10,,-0.5484313965,-0.6843566895,0.4634246826,-0.6961975098,-0.6667022705,0.2933654785,-0.05743959174,0.02002297714,-0.01728657819,-0.03410470858,-0.08292817324,0.07936006784,-332.6911011,-96.01132202,-80.74433899,-56.11743164,28.69763184,175.8824921
